,cleaned_job_role,cleaned_job_description,cleaned_skills,skills_extracted
0,SEO Lead,"What will you be doing: Create and manage an SEO roadmap to gain a share of voice on Google Search for high-intent and high-volume searches, as well as to drive relevant traffic to the platform. Conducting periodic technical audits of the Company's website/pages, making short- and long-term technical SEO strategy recommendations in terms of (page load, mobile friendly UI/UX), page speed, CWV (core web vitals), and so on. To achieve the overall SEO KPIs, collaborate closely with the cross-functional team - Product team, Category growth teams, Design team, etc. Monitoring the most recent SEO trends, best practices, and techniques to ensure that our SEO results are the best in the industry. Maintain and develop innovative content strategies to attract and delight target audiences while distinguishing us from the competition. This includes developing mobile-first content concepts that users can read, view, watch, interact with, and share. Collaboration with the product team to identify and implement efficient web pages on a large scale for our SEO execution. Exhibit strong technical expertise in all aspects of inbound marketing (Organic), as well as good inter-team stakeholder management and reporting. Take control of the Blog, Web, and Discussion platforms in order to execute and index them in search engines (google). Manage and improve the existing areas of organic campaigns (blog workflows, funnels, web, etc.). Take charge of off-page activities to boost DA and PA for domain and course pages, notification pages, and so on.Qualifications and Requirements: Minimum 4 years of relevant SEO experience is mandatory, ideally in an Ed-Tech StartUp or a B2C company. Must be well-versed with Google Algorithm updates and Google Analytics. Tool knowledge like Ahrefs, Semrush, ScreamingFrog or similar tools. Familiarity with Wordpress, HTML, CSS, JavaScript. Critical thinker and problem-solving skills. In-depth knowledge of research principles, methods and experience in analyzing data. Complete ownership and pride in your performance and its impact on the company's success.",,"['Google Search', 'Company', 'UI/UX', 'CWV', 'SEO', 'Ed-Tech StartUp', 'Google Algorithm', 'Google Analytics', 'Ahrefs', 'Semrush', 'ScreamingFrog', 'Wordpress', 'HTML', 'CSS', 'JavaScript']"
1,Manufacturing Engineer,"The Manufacturing Engineer, specializing in manufacturing process planning for machining, casting, and forging, plays a pivotal role in creating detailed manufacturing plans to meet customer demands. This role involves a deep understanding of these manufacturing processes to develop efficient and effective plans. The Manufacturing Engineer collaborates with cross-functional teams like quality, costing and vendor development teams to ensure seamless execution and optimization of production processes, contributing to the fulfillment of customer requirements and maintaining high proficiency in machining, casting, and forging domains. Responsibilities: Analyze component specifications and customer demands to devise meticulous manufacturing process plans encompassing machining, casting, and forging methods. Develop comprehensive manufacturing plans that outline step-by-step processes, material usage, workflow, and quality control measures. Ensure alignment of manufacturing plans with customer specifications, demands, and quality expectations. Monitor production processes, gather data, and implement improvements to maintain high efficiency and quality standards. Troubleshoot production issues and collaborate with cross-functional teams to implement corrective measures. Train production teams in adhering to the devised manufacturing process plans and safety protocols. Stay updated on industry trends and advancements in machining, casting, and forging technologies to propose innovative solutions. Drive continuous improvement initiatives to enhance manufacturing processes, reduce costs.",Ability to read 2D and 3D drawings|Apriori|Costimator or similar cost analysis tools|Handling production activities in manufacturing facilities|Limit|fit and tolerance|GD&T,"['Manufacturing Engineer', 'Develop']"
2,Manager - SCM and Ops (Fabrication),"We are seeking a dynamic and experienced professional to join our team as the SCM & Operations Manager for our Fabrication Vertical.As the SCM & Operations Manager, you will be responsible for overseeing the end-to-end project management and execution of fabrication projects, ensuring adherence to timelines, quality standards, and maintain project budget. You will be a key strategic leader, collaborating with various stakeholders to drive business growth and operational excellence. People management, fostering a positive work culture, and optimizing systems and processes will be crucial aspects of your role. As a key stakeholder, you will work closely with top MNCs, EPCs, SME and MSME manufacturing facilities, and internal teams across sales, finance, and operations.",Experience dealing with top EPCs|Knowledge of structural fabrication|welding|painting|Cutting|project management software|digital tracking tools,"['the SCM & Operations', 'Fabrication Vertical', 'the SCM & Operations Manager', 'SME', 'MSME']"
3,Senior Manager - Sales,Responsibilities:Develop and implement sales strategies to achieve sales targetsBuild and maintain relationships with key clients and partnersLead and manage sales teams in the regionCollaborate with cross-functional teams to ensure seamless delivery of services to clientsIdentify new market opportunities and develop strategies to capture themProvide feedback on market trends and client needs to the product development teamEnsure compliance with company policies and proceduresManage the sales pipeline and provide regular reports to senior management,Proven track record in sales|specifically in the payouts platform industry|Experience working with Cashfree|RazorpayX and PayU only (payouts)|Experience with Outbound Sales,[]
4,Senior UI Engineer,"We are an early stage product company that aims to help customers Drive Growth through data. We are building a platform to monitor metrics and automate generation of actionable insights for growth enterprises empowering them to take proactive decisions. We have secured funding from SF based investors, SV Quad, and Inventus. Our founding team is from Google, eBay & Paypal and alumni from Stanford, Berkeley and Booth. Our HQ is in the San Francisco Bay Area with a satellite office in Pune, India.THE ROLEJoin our early stage start-up, as our Senior UI Engineer to drive the customer experience of a new category-creating and ground-breaking product in the Data Analytics space. The ideal candidate is a passionate, yet pragmaticthinker and maker that can think broadly across platforms and domains, but then dive deep into the details. You should be passionate about working strategically with executives and other senior leaders to create and deliver big, visionary and customer-focused experiencesRESPONSIBILITIESDevelopment of responsive Front-End applications, including Web and Mobile (App & Web) interfaces with the right set of guidelines (code, review, test, deploy, operate)Responsible for implementation of user interfaces, by working closely with the UX/Product Designer team, including ability to incorporate user feedback to iterate on the overall user experience.Responsible for selecting the right tools & frameworks to improve the platformIntegration with UI automation frameworks to ensure high-quality deliverablesREQUIREMENTSA passionate technologist with a brilliant growth hacker mindsetExperienced with creating modern user interface for responsive (Web/Mobile App) SaaS applications with a dynamic front end, REST APIs for use by multiple simultaneous client accounts (multi-tenant) capableWork in global teams, across time zones and be ready to support customer deployments of software you createEnjoy writing good quality code, with best practices for design documentationBe familiar with AWS and potentially also GCP and AzureOur values help us make decisions that determine how we achieve our goals. Our ideal candidate is someone who is very hands-on and passionate about solving problems and displays a strong sense of curiosity and ownership towards their work.As a member of the v1.0 launch team, you will shape this entire product from scratch backed by a strong product <> aesthetic. This is as early ideation and creation phase of a start-up as it gets as autonomous as it gets as FUN as it gets if you thrive on the energy of creating something out of nothing.",Proficiency in React.js and a deep understanding of its core concepts|such as components|props|state|and hooks Strong JavaSc,"['SV Quad', 'Inventus', 'Google', 'eBay & Paypal', 'Stanford', 'Data Analytics', 'Front-End', 'Web and Mobile (App & Web', 'UI', 'Web/Mobile App', 'AWS', 'GCP', 'AzureOur', 'FUN']"
5,Fullstack Engineer,"We are building the AirBnB of long term home rentals in India. A 100% digital technology enabled brokerage focused just on home rentals. Nothing like this exists in India today and global comps are Quinto Andar (last valued at $5.5 bn) and Lianjia (IPO in NYSE at $87 bn).We are seeking someone who is not only passionate about startups, real estate, technology, but also thrives in a fast-paced startup environment and is excited to contribute to something truly groundbreaking and participate in the creation of something from zero to one.Roles and Responsibilities: Work closely with the founding team to develop the product roadmap and translate it into technical requirements. Write high-quality, efficient, and scalable code across the stack, including the frontend built in ReactJS, NodeJS on server side and DBs across NoSQL & SQL. Develop and maintain AWS infrastructure, including deploying and maintaining the web app with log monitoring. Work with 3rd party services (ex, Twilio for messaging/Razorpay for payments) Build scalable, fault-tolerant systems that can handle high traffic and rapid growth. Collaborate with other engineers and stakeholders to ensure a seamless user experience. Stay up-to-date with the latest trends and technologies in software development, and recommend improvements to our tech stack. Take ownership of the product, lead by example and demonstrate an ownership mindset.Requirements:Bachelor's degree in Computer Science, Computer Engineering or a related field.Strong skills in ReactJS, NodeJS, Express, Auth protocols, AWS, Test Driven development.Experience working with multiple DB types.A track record of building scalable, fault-tolerant systems.Experience in HLD/LLD ideation.Excellent problem-solving and debugging skills.Strong communication and collaboration skills.An ownership mindset and a willingness to take on challenges and drive the success of the product.",Location (will be an in-office/hybrid role in Mumbai)|Communication + Collaboration skills|Independent + takes ownership (self-starter) - very important for the stage we're at!|Learns & upskills constantly,"['IPO', 'NYSE', 'NoSQL & SQL', 'Bachelor', 'Computer Science', 'Computer Engineering', 'NodeJS', 'Express', 'Auth', 'AWS', 'Test Driven', 'HLD/LLD ideation']"
6,Inside Sales Specialist,"Qualification : BtechJob Responsibilities: Reach out to prospective contacts by making phone calls to pitch Custiv solutions suitable for their business development.2. Pursue contacts through timely follow-up to convert them into qualified leads.3. Demonstrate a passion for cold calling and pitching, with the ability to generate interest and engage potential customers.4. Use effective communication and persuasive skills to convince prospects over the phone.5. Understand the specific experience, needs and requirements of each contact and tailor the pitch accordingly to showcase how Custiv solutions can benefit them.6. Ability to call global contacts, managing different time zones effectively.7. Transfer qualified leads to the sales team for further pursuit and conversion.8. Demonstrate a solid understanding of manufacturing solutions and how they apply to various industries and clients.9. Previous experience in cold calling for B2B technical solutions is preferred.10. Engineering graduates are preferred due to their technical background and ability to understand and communicate manufacturing solutions effectively.11. Manage CRM software for contact and lead management and generate reports accordingly.",Communication Skill|inside sales|CRM,"['Custiv', 'B2B technical']"
7,Senior Sales Executive,"Operational:Monitor sales process by devising customer mix, positioning, pricing, and payment schedules based on delivery schedulesHandling Sales through channel partners and assisting them with product knowledge to boost sales of the company.Participating in Property expos to promote Projects.Involving in corporate presentation and promotional activities.Following up for collections and receivables.Meeting the sales target fixed by the management.Develop marketing & sales strategies to build consumer preference.Manage pre-sales and post- sales activities to ensure accomplishment of sales targets and drive volumes.Undertake Above-the-Line (ATL) and Below-the-Line (BTL) promotional activities and maintain healthy business relations with B2B business associates.Work on worksite campaigns, lead generation and sales closures, delivering after sales assistanceTrack competition & real estate market movement evolving marketing & sales strategies in line with current market scenarios driving new initiatives for the regionConduct surveys to collect customer feedback and market intelligence related to projectEstablish a robust framework to ensure effective validation of customer documentation for saleRespond to customer queries for our projects in a timely manner. Serve as the highest point of issue resolutionWork with Corporate marketing and branding team for project and provide inputs from customer perspective.Ensure post sale deed documentation with LegalTimely handover of all customer related information to the Facility Management team post possessionReport achievement against sales target and initiate activities to increase salesWHAT YOU NEED TO BRING TO THE TABLE?2-4 years of experience in a similar kind of role in luxury sales is preferred.Experience in a field role, and enthusiasm to learn.Having experience in luxury real estate industry is a plus, but not mandatory.Proficient in English and Hindi. Kannada is a good to have.Good communication skills, both verbal and written.Good organisational skillsAbility to work at a quick paceAbility to coordinate well with multiple stakeholdersA desire to maintain data in order at all times.Strong observation skillsPositive target driven orientationWilling to travel within Bangalore on a regular basis",,"['Projects', 'the Facility Management']"
8,Test role v2,qwdwf,,[]
9,Healthcare Manager,"About Us:Supertails.com is a first-of-its-kind platform that supports the ever-increasing pet parent community by providing trustworthy veterinary care, pet behavior expertise, and a one-stop solution for pet food and supplies.Were changing pet healthcare.We believe dogs and cats are more than just pets they are part of the family. With rising pet adoption, accessibility of veterinary services has become a constraint in many parts of India. With 30,000+ consultations, 4.96 NPS, and 12,000+ pharmacy deliveries, Supertails is on a mission to improve the quality of life for pets by creating tools & services to transform the world of vet care and how we access it.About the RoleSupertails is looking for a Healthcare Manager to take ownership of our Pet Healthcare vertical which includes Online Consultations and Pharmacy. As a critical member of our team, you will be responsible for operationalizing new & existing projects to improve customer acquisition, engagement, retention, and monetization.What will you do Manage all aspects of healthcare which include capacity planning, forecasting, customer experience, managing multiple channels (chat, call, video call), and quality assurance Drive exciting projects and experiments to retain healthcare customers and increase the number of touchpoints with our vets Continuously optimise the user journey for consultations through innovation, quality control & data Identify knowledge gaps in pet parenting and work with the veterinary team to create modules to fill these gaps and track them Analyze data & user behavior to understand pet parent needs and identify opportunities to improve create new touchpoints and increase engagement Work with cross-functional teams including growth, tech, content marketing, design, and data to identify and execute growth & retention initiativesWhat you will need 2+ years experience working at a hyper-growth consumer services startup Strong data mindset and ability to develop, track, and utilize growth metrics to inform growth decisions Strong analytical, excellent communication skills and ability to work cross-functionally Expert in Excel functions and data interpretation Customer obsession is a necessary skill to have Good understanding of how to engage with customers Distinctive stakeholder management, influencing skills to build and manage a complex ecosystem of internal and external partnersWhat we offer: Competitive salaries A well-planned insurance cover for you and your family A team with smart, empathetic, and ambitious people who genuinely want to make adifference in the pet care space A culture of ownership and mutual care so you do not just learn, but also thriveLocation: Indiranagar, Bangalore",MS-Excel|Team Management|Pet Parent|Team Handling|Customer Experience,"['Supertails.com', 'NPS', 'RoleSupertails', 'Healthcare', 'Pet Healthcare', 'Online Consultations', 'control &', 'Distinctive']"
